p_I1,p_I2,ph1,ph2,method,bias,var,se,z,sig
0.2,0.2,0.2,0.2,GMM estimator,-0.42763338712863075,0.9923237528757697,0.05751300585884233,-7.435420575620711,True
0.2,0.2,0.2,0.2,Simple g-estimator,0.04622320028322382,0.8753318641007504,0.0540164130643255,0.8557250965216604,False
0.2,0.2,0.2,0.2,Three-step estimator,-0.04359507567264174,1.1665519058538023,0.06235788925906655,-0.6991108292893864,False
0.2,0.2,0.2,0.5,GMM estimator,-0.1450641580521862,0.24897106621046328,0.028808046688987395,-5.035543007073806,True
0.2,0.2,0.2,0.5,Simple g-estimator,-0.0029075829443071075,0.26081664655023046,0.02948540014709147,-0.09861093727072652,False
0.2,0.2,0.2,0.5,Three-step estimator,-0.050917901020491506,0.2863088037038007,0.030892760948362467,-1.648214645029664,False
0.2,0.2,0.2,0.8,GMM estimator,-0.08256816424226687,0.15290216728365938,0.02257595825088121,-3.657349261754769,True
0.2,0.2,0.2,0.8,Simple g-estimator,-0.005063220060372464,0.18714703907800206,0.024976458187528115,-0.20271969797946615,False
0.2,0.2,0.2,0.8,Three-step estimator,-0.04508166081161951,0.18886427164818448,0.025090786599080844,-1.7967416299842507,False
0.2,0.2,0.5,0.2,GMM estimator,-0.15223915356412313,0.2960435440763608,0.031413560982287085,-4.846287679705112,True
0.2,0.2,0.5,0.2,Simple g-estimator,0.011653158768361089,0.29347341465689286,0.031276903867278424,0.3725803173424881,False
0.2,0.2,0.5,0.2,Three-step estimator,0.02677819223667738,0.40775350673056815,0.03686703616740245,0.7263451315990096,False
0.2,0.2,0.5,0.5,GMM estimator,-0.05502861457716922,0.08091795325054107,0.01642335260643018,-3.3506322305729497,True
0.2,0.2,0.5,0.5,Simple g-estimator,-0.016165901642298593,0.07582343944679225,0.015897949495327194,-1.0168545098882191,False
0.2,0.2,0.5,0.5,Three-step estimator,-0.016720416950821285,0.0934127777153563,0.017645847265514183,-0.9475553482489053,False
0.2,0.2,0.5,0.8,GMM estimator,-0.036446850189424534,0.06060585303154679,0.014213356750083913,-2.5642675991517176,True
0.2,0.2,0.5,0.8,Simple g-estimator,-0.016679073064768523,0.05139772979083138,0.013089146877067196,-1.274267392781041,False
0.2,0.2,0.5,0.8,Three-step estimator,-0.012484017723580671,0.060204243729701554,0.014166185528657265,-0.8812547102624289,False
0.2,0.2,0.8,0.2,GMM estimator,-0.05750505894793721,0.1715248881459114,0.023911286605974136,-2.4049336991163752,True
0.2,0.2,0.8,0.2,Simple g-estimator,-0.00882254264171751,0.15353627113921084,0.0226227224370551,-0.3899858943266061,False
0.2,0.2,0.8,0.2,Three-step estimator,0.007805541787212506,0.16485832556324342,0.02344200827312963,0.33297240135179024,False
0.2,0.2,0.8,0.5,GMM estimator,-0.0227833156304218,0.07277875291254139,0.015575488533006105,-1.4627673207258667,False
0.2,0.2,0.8,0.5,Simple g-estimator,0.005149329412324903,0.06756917396825876,0.01500768402833015,0.34311286155841664,False
0.2,0.2,0.8,0.5,Three-step estimator,0.02572906757369641,0.06589995505733115,0.014821150996389264,1.7359696004692577,False
0.2,0.2,0.8,0.8,GMM estimator,-0.03232951761439855,0.030692848250026925,0.010114815577496033,-3.1962537889793006,True
0.2,0.2,0.8,0.8,Simple g-estimator,-0.015993887622920117,0.02960500571165407,0.009933949485082971,-1.6100230474230695,False
0.2,0.2,0.8,0.8,Three-step estimator,-0.02577062326985706,0.031731852231763766,0.010284592397005623,-2.5057505708597865,True
0.2,1.0,0.2,0.2,GMM estimator,-0.11761494536822886,0.44258699341727625,0.03840950374656756,-3.0621313449992034,True
0.2,1.0,0.2,0.2,Simple g-estimator,0.038600776052247064,0.4288152451192874,0.03780719707142576,1.0209901564329686,False
0.2,1.0,0.2,0.2,Three-step estimator,-0.05978866594394283,1.1164161049621644,0.061003172184244225,-0.9800910969574944,False
0.2,1.0,0.2,0.5,GMM estimator,-0.09045507137046184,0.14467987799581417,0.021960561467914412,-4.118978082715311,True
0.2,1.0,0.2,0.5,Simple g-estimator,-0.029615674583679835,0.16797669261371379,0.023662677547403196,-1.2515774905164923,False
0.2,1.0,0.2,0.5,Three-step estimator,-0.05390596710569358,0.27931957235165544,0.03051336168258399,-1.7666348161324128,False
0.2,1.0,0.2,0.8,GMM estimator,-0.08885586284506683,0.1397815094691015,0.021585605502209223,-4.116440599082231,True
0.2,1.0,0.2,0.8,Simple g-estimator,-0.032520028658973965,0.14412115835631711,0.021918117190756228,-1.4837053920255978,False
0.2,1.0,0.2,0.8,Three-step estimator,-0.0439842347007124,0.192566476252979,0.02533551369474471,-1.73607037262623,False
0.2,1.0,0.5,0.2,GMM estimator,-0.05047469938051715,0.18715290729770823,0.02497684976784891,-2.0208593097072627,True
0.2,1.0,0.5,0.2,Simple g-estimator,0.001939357042060332,0.1893656467312669,0.025124068588458285,0.07719120154572619,False
0.2,1.0,0.5,0.2,Three-step estimator,0.03512680522128021,0.4155492489259128,0.03721779363538865,0.9438175074376195,False
0.2,1.0,0.5,0.5,GMM estimator,-0.05483405523854317,0.06953383045392547,0.01522430408414185,-3.601744614104245,True
0.2,1.0,0.5,0.5,Simple g-estimator,-0.009908821690995679,0.06701307390891982,0.014945799176682817,-0.6629837303350491,False
0.2,1.0,0.5,0.5,Three-step estimator,-0.015142227946981886,0.09230407307637628,0.017540816502886088,-0.8632567329172192,False
0.2,1.0,0.5,0.8,GMM estimator,-0.04036450454496646,0.05002186800300586,0.01291276732579115,-3.125937572215441,True
0.2,1.0,0.5,0.8,Simple g-estimator,-0.011099134536123413,0.04675508072116906,0.012484000523492602,-0.8890687336352538,False
0.2,1.0,0.5,0.8,Three-step estimator,-0.012104299626502977,0.06330339892000371,0.014526229026603762,-0.8332719802458578,False
0.2,1.0,0.8,0.2,GMM estimator,-0.04841486734439483,0.11788877063121203,0.01982328350124436,-2.4423233084143554,True
0.2,1.0,0.8,0.2,Simple g-estimator,-0.006770891343909498,0.0987508162809033,0.01814302586679,-0.37319526487052596,False
0.2,1.0,0.8,0.2,Three-step estimator,0.0072015340737792335,0.16255795763465694,0.023277883468695984,0.30937237414491875,False
0.2,1.0,0.8,0.5,GMM estimator,-0.02512965502643462,0.04285836889830396,0.011952457055392971,-2.102467711029848,True
0.2,1.0,0.8,0.5,Simple g-estimator,-0.004239402861000112,0.051911442741148194,0.01315439631722011,-0.3222803052885376,False
0.2,1.0,0.8,0.5,Three-step estimator,0.026956266197609824,0.06723415408840508,0.014970432423993311,1.8006337715673901,False
0.2,1.0,0.8,0.8,GMM estimator,-0.023151252010263437,0.02758680852516927,0.00958937059546824,-2.414261893393117,True
0.2,1.0,0.8,0.8,Simple g-estimator,-0.012230793980299212,0.02759714317132454,0.00959116662548141,-1.275214419464359,False
0.2,1.0,0.8,0.8,Three-step estimator,-0.02685376182411192,0.03251178191296787,0.010410216442349293,-2.579558453258421,True
1.0,0.2,0.2,0.2,GMM estimator,-0.20902045970057262,0.6598645609622699,0.046899344734664464,-4.456788487837453,True
1.0,0.2,0.2,0.2,Simple g-estimator,0.038800108170408396,0.5857352402207635,0.04418654547185012,0.8780977955184739,False
1.0,0.2,0.2,0.2,Three-step estimator,-0.05350954350856656,1.1236891682997587,0.061201556851106294,-0.8743167046999607,False
1.0,0.2,0.2,0.5,GMM estimator,-0.045686721781870485,0.1749974264489273,0.02415211698443343,-1.8916239024229877,False
1.0,0.2,0.2,0.5,Simple g-estimator,0.022778213329279186,0.17104593013410047,0.023877878893381662,0.9539462626051229,False
1.0,0.2,0.2,0.5,Three-step estimator,-0.051458064701281045,0.28022913081726225,0.030563002187681227,-1.683671793277619,False
1.0,0.2,0.2,0.8,GMM estimator,-0.024412091994261743,0.12053764303063944,0.020044753513961323,-1.2178793806198982,False
1.0,0.2,0.2,0.8,Simple g-estimator,0.0005150947129749291,0.12526462534026392,0.020434009668545552,0.02520771602490841,False
1.0,0.2,0.2,0.8,Three-step estimator,-0.04385320401375676,0.18893120950050804,0.02509523258180778,-1.747471511602851,False
1.0,0.2,0.5,0.2,GMM estimator,-0.07918459844653106,0.2727661127862885,0.03015328134638575,-2.6260690349716227,True
1.0,0.2,0.5,0.2,Simple g-estimator,0.02271412033527675,0.22610103552222166,0.027453052988828136,0.8273804864078372,False
1.0,0.2,0.5,0.2,Three-step estimator,0.033082683797263104,0.40326450855107665,0.03666353813400432,0.9023320028838112,False
1.0,0.2,0.5,0.5,GMM estimator,-0.04850975617568344,0.06628318578706853,0.014864183550520417,-3.263533177641973,True
1.0,0.2,0.5,0.5,Simple g-estimator,-0.006094614928590279,0.062808405978874,0.014469324561392398,-0.421209359340253,False
1.0,0.2,0.5,0.5,Three-step estimator,-0.015706590377977912,0.09430677658777946,0.01773008522143266,-0.8858722438057609,False
1.0,0.2,0.5,0.8,GMM estimator,-0.013987523730703444,0.040110569109408536,0.01156295364651099,-1.2096843210059953,False
1.0,0.2,0.5,0.8,Simple g-estimator,-0.0034271374402438355,0.040066180811238465,0.011556553813203205,-0.2965535829832227,False
1.0,0.2,0.5,0.8,Three-step estimator,-0.012326244109202876,0.0616389017681878,0.014333980811134055,-0.8599316736651655,False
1.0,0.2,0.8,0.2,GMM estimator,-0.05979013188081086,0.15052354201463652,0.022399668302204575,-2.6692418420734523,True
1.0,0.2,0.8,0.2,Simple g-estimator,0.009286180507847576,0.1373779704293549,0.021399218866534585,0.433949508426678,False
1.0,0.2,0.8,0.2,Three-step estimator,0.010755586529854734,0.1642783995444828,0.023400740696573604,0.45962590113353097,False
1.0,0.2,0.8,0.5,GMM estimator,-0.023567959801370095,0.059767850609497915,0.01411475004023544,-1.6697397923581627,False
1.0,0.2,0.8,0.5,Simple g-estimator,0.009434708415407583,0.05489730332503621,0.013527417014473015,0.6974508441126172,False
1.0,0.2,0.8,0.5,Three-step estimator,0.025878799101784082,0.06667645705201777,0.014908214408173075,1.7358751620580828,False
1.0,0.2,0.8,0.8,GMM estimator,-0.03237732223448388,0.025268104527179945,0.009177527722137363,-3.5278915209796273,True
1.0,0.2,0.8,0.8,Simple g-estimator,-0.007085265231277104,0.029183219005455948,0.009862930430904051,-0.7183732340924215,False
1.0,0.2,0.8,0.8,Three-step estimator,-0.025249331560902144,0.03258273126732822,0.010421569182442124,-2.4227955616742713,True
1.0,1.0,0.2,0.2,GMM estimator,-0.01330098980157782,0.36885834928344036,0.035064623639001195,-0.3793278929360468,False
1.0,1.0,0.2,0.2,Simple g-estimator,0.056173299724099277,0.37169999869900705,0.035199431751995046,1.5958581411165953,False
1.0,1.0,0.2,0.2,Three-step estimator,-0.05510334328846768,1.0966681843449637,0.06046123232686556,-0.9113830659383181,False
1.0,1.0,0.2,0.5,GMM estimator,-0.007256695851937098,0.12904970978845123,0.02074043633327991,-0.3498815422842899,False
1.0,1.0,0.2,0.5,Simple g-estimator,-0.004413793418182694,0.14228005045786973,0.02177766826038926,-0.20267520679478848,False
1.0,1.0,0.2,0.5,Three-step estimator,-0.04759408875336057,0.27931957235132393,0.03051336168256588,-1.5597786061230328,False
1.0,1.0,0.2,0.8,GMM estimator,-0.012404577440660577,0.09557565809361085,0.017848964311093875,-0.6949746340716596,False
1.0,1.0,0.2,0.8,Simple g-estimator,0.02299973102004898,0.09960596098073317,0.018221412402329773,1.2622364563302597,False
1.0,1.0,0.2,0.8,Three-step estimator,-0.04575635694815647,0.19140322253485473,0.025258874515362895,-1.8114962691756769,False
1.0,1.0,0.5,0.2,GMM estimator,-0.0657271889534144,0.1669764551117155,0.02359212122098643,-2.785980469401226,True
1.0,1.0,0.5,0.2,Simple g-estimator,0.015792283567971986,0.16029329501734185,0.02311516782095989,0.6832000394845582,False
1.0,1.0,0.5,0.2,Three-step estimator,0.03234837349613082,0.4204406078983823,0.0374361949588177,0.8640935205011133,False
1.0,1.0,0.5,0.5,GMM estimator,-0.04877177630130398,0.05795397968766152,0.013898918385694806,-3.5090339368782386,True
1.0,1.0,0.5,0.5,Simple g-estimator,-0.01689751241373162,0.056032784228785895,0.013666599702533411,-1.2364094055231079,False
1.0,1.0,0.5,0.5,Three-step estimator,-0.01672076382261367,0.09234014446509016,0.01754424354454476,-0.9530626829341329,False
1.0,1.0,0.5,0.8,GMM estimator,-0.0350351146142251,0.03805995678362081,0.011263504011277724,-3.1104987026369195,True
1.0,1.0,0.5,0.8,Simple g-estimator,-0.003327083640331962,0.036212819753727574,0.0109867829312812,-0.3028260102289999,False
1.0,1.0,0.5,0.8,Three-step estimator,-0.013574304131862594,0.061723669192027576,0.014343833656781761,-0.9463511956892129,False
1.0,1.0,0.8,0.2,GMM estimator,-0.021717585811798758,0.1167037355880543,0.019723398590511247,-1.1011076875081203,False
1.0,1.0,0.8,0.2,Simple g-estimator,-0.0027747075193407128,0.10168268571485346,0.01841038526799964,-0.15071425605435987,False
1.0,1.0,0.8,0.2,Three-step estimator,0.006102196127079705,0.16860686519917603,0.023707021828927678,0.2574003673305649,False
1.0,1.0,0.8,0.5,GMM estimator,-0.005848919044818504,0.03947223360843883,0.011470575923994811,-0.5099063101603641,False
1.0,1.0,0.8,0.5,Simple g-estimator,-0.0035858925801595647,0.04456748457476834,0.012188448708342438,-0.29420418184187663,False
1.0,1.0,0.8,0.5,Three-step estimator,0.026021241788657015,0.06733878091774735,0.01498207605971742,1.7368248355527176,False
1.0,1.0,0.8,0.8,GMM estimator,-0.025687973570409986,0.026428605079151055,0.009385912329861005,-2.73686485315705,True
1.0,1.0,0.8,0.8,Simple g-estimator,-0.016692595870683266,0.02572162180789398,0.009259521551335501,-1.8027492865736343,False
