p_I1,p_I2,ph1,ph2,method,bias,var,se,z,sig
0.2,0.2,0.2,0.2,GMM estimator,-147.0831796035455,0.9923237528757697,0.05751300585884233,-2557.3898878549435,True
0.2,0.2,0.2,0.2,Simple g-estimator,0.16381325846086828,0.8753318641007504,0.0540164130643255,3.0326570974972196,True
0.2,0.2,0.2,0.2,Three-step estimator,0.15392439030771768,1.1665519058538023,0.06235788925906655,2.4684028298045346,True
0.2,0.2,0.2,0.5,GMM estimator,-0.09727444229138034,0.24897106621046328,0.028808046688987395,-3.37664137182081,True
0.2,0.2,0.2,0.5,Simple g-estimator,0.03532407681061689,0.26081664655023046,0.02948540014709147,1.1980192445887958,False
0.2,0.2,0.2,0.5,Three-step estimator,0.028119781456720894,0.2863088037038007,0.030892760948362467,0.9102385346432249,False
0.2,0.2,0.2,0.8,GMM estimator,-0.07152476786532797,0.15290216728365938,0.02257595825088121,-3.1681830321659166,True
0.2,0.2,0.2,0.8,Simple g-estimator,0.011277892137117019,0.18714703907800206,0.024976458187528115,0.4515408891220848,False
0.2,0.2,0.2,0.8,Three-step estimator,-0.002880307033510394,0.18886427164818448,0.025090786599080844,-0.11479540596052533,False
0.2,0.2,0.5,0.2,GMM estimator,-0.09547645567054543,0.2960435440763608,0.031413560982287085,-3.03933882963415,True
0.2,0.2,0.5,0.2,Simple g-estimator,0.04552831210419124,0.29347341465689286,0.031276903867278424,1.4556527812787279,False
0.2,0.2,0.5,0.2,Three-step estimator,0.05252815422936457,0.40775350673056815,0.03686703616740245,1.4248000297840475,False
0.2,0.2,0.5,0.5,GMM estimator,-0.049150579214709486,0.08091795325054107,0.01642335260643018,-2.9927250782806505,True
0.2,0.2,0.5,0.5,Simple g-estimator,-0.004098153481592233,0.07582343944679225,0.015897949495327194,-0.25777874579339827,False
0.2,0.2,0.5,0.5,Three-step estimator,0.0019390155142926656,0.0934127777153563,0.017645847265514183,0.10988508996573618,False
0.2,0.2,0.5,0.8,GMM estimator,-0.03994118269390029,0.06060585303154679,0.014213356750083913,-2.810116103900965,True
0.2,0.2,0.5,0.8,Simple g-estimator,-0.013304906705903513,0.05139772979083138,0.013089146877067196,-1.0164838725443854,False
0.2,0.2,0.5,0.8,Three-step estimator,-0.018394169073143722,0.060204243729701554,0.014166185528657265,-1.298456033625532,False
0.2,0.2,0.8,0.2,GMM estimator,-0.0675845846457431,0.1715248881459114,0.023911286605974136,-2.826472107479878,True
0.2,0.2,0.8,0.2,Simple g-estimator,0.014684482829794392,0.15353627113921084,0.0226227224370551,0.6491032576053626,False
0.2,0.2,0.8,0.2,Three-step estimator,0.017138627312065037,0.16485832556324342,0.02344200827312963,0.7311074679429307,False
0.2,0.2,0.8,0.5,GMM estimator,-0.023643587365021822,0.07277875291254139,0.015575488533006105,-1.5179997285426112,False
0.2,0.2,0.8,0.5,Simple g-estimator,0.002644285938284556,0.06756917396825876,0.01500768402833015,0.17619546982018758,False
0.2,0.2,0.8,0.5,Three-step estimator,0.005673224028949209,0.06589995505733115,0.014821150996389264,0.3827789103782373,False
0.2,0.2,0.8,0.8,GMM estimator,-0.029858515143785052,0.030692848250026925,0.010114815577496033,-2.951958433153821,True
0.2,0.2,0.8,0.8,Simple g-estimator,-0.015129420295016469,0.02960500571165407,0.009933949485082971,-1.5230015330493805,False
0.2,0.2,0.8,0.8,Three-step estimator,-0.018886911278804826,0.031731852231763766,0.010284592397005623,-1.8364277892339012,False
0.2,1.0,0.2,0.2,GMM estimator,-1.9828409951415717,0.44258699341727625,0.03840950374656756,-51.62370772152366,True
0.2,1.0,0.2,0.2,Simple g-estimator,0.10002146309553504,0.4288152451192874,0.03780719707142576,2.6455667397552225,True
0.2,1.0,0.2,0.2,Three-step estimator,0.1513230474459358,1.1164161049621644,0.061003172184244225,2.480576698354372,True
0.2,1.0,0.2,0.5,GMM estimator,-0.06806113261471916,0.14467987799581417,0.021960561467914412,-3.0992437381057045,True
0.2,1.0,0.2,0.5,Simple g-estimator,0.015481736998452143,0.16797669261371379,0.023662677547403196,0.654268181081272,False
0.2,1.0,0.2,0.5,Three-step estimator,0.02751598846784714,0.27931957235165544,0.03051336168258399,0.9017685024050415,False
0.2,1.0,0.2,0.8,GMM estimator,-0.05451697818413959,0.1397815094691015,0.021585605502209223,-2.525617276687464,True
0.2,1.0,0.2,0.8,Simple g-estimator,0.013363231729696693,0.14412115835631711,0.021918117190756228,0.6096888529883634,False
0.2,1.0,0.2,0.8,Three-step estimator,-0.0023001248319279542,0.192566476252979,0.02533551369474471,-0.09078658754036095,False
0.2,1.0,0.5,0.2,GMM estimator,-0.05353564437055783,0.18715290729770823,0.02497684976784891,-2.1434105929351754,True
