p_I1,p_I2,ph1,ph2,method,n_kept,bias,var,se,z,sig
0.2,0.2,0.2,0.2,GMM estimator,300,-0.03235828857822722,0.17349141502522003,0.02404796699828768,-1.3455727288935182,False
0.2,0.2,0.2,0.2,Simple g-estimator,300,-0.026273358833015795,0.15686031840166698,0.022866301143944476,-1.148999073685933,False
0.2,0.2,0.2,0.2,Three-step estimator,300,-0.026273358852189392,0.1568603183840962,0.02286630114266379,-1.1489990745887946,False
0.2,0.2,0.2,0.5,GMM estimator,300,-0.02555437897081903,0.11241119722042202,0.01935727229582567,-1.3201435915291506,False
0.2,0.2,0.2,0.5,Simple g-estimator,300,-0.027137502086053297,0.11041036524795622,0.019184226615282688,-1.4145736823414508,False
0.2,0.2,0.2,0.5,Three-step estimator,300,-0.027137502085537193,0.11041036524665147,0.019184226615169338,-1.4145736823229063,False
0.2,0.2,0.2,0.8,GMM estimator,300,0.019168987277352213,0.12249234495837355,0.020206628034580926,0.9486484951644119,False
0.2,0.2,0.2,0.8,Simple g-estimator,300,0.00015217948455959233,0.14260450262709756,0.02180248476872132,0.006979914728706282,False
0.2,0.2,0.2,0.8,Three-step estimator,300,0.0001521794892441077,0.14260450255624985,0.021802484763305447,0.006979914945301672,False
0.2,0.2,0.5,0.2,GMM estimator,300,-0.0017297399318291203,0.136932589220938,0.02136450242972659,-0.08096326780924035,False
0.2,0.2,0.5,0.2,Simple g-estimator,300,0.019723914255963284,0.14663382008410833,0.022108355892747,0.8921474917288639,False
0.2,0.2,0.5,0.2,Three-step estimator,300,0.01972391425534622,0.14663382007408646,0.02210835589199149,0.8921474917314404,False
0.2,0.2,0.5,0.5,GMM estimator,300,0.011227668343810934,0.0888552621400598,0.017210003112536985,0.6523919996058517,False
0.2,0.2,0.5,0.5,Simple g-estimator,300,0.012825906115906964,0.09669394873427245,0.017953082254798892,0.7144124854927669,False
0.2,0.2,0.5,0.5,Three-step estimator,300,0.012825906118593418,0.09669394873365887,0.01795308225474193,0.714412485644671,False
0.2,0.2,0.5,0.8,GMM estimator,300,-0.02239375588983785,0.13032944591661583,0.02084302008799875,-1.0744007248130034,False
0.2,0.2,0.5,0.8,Simple g-estimator,300,-0.033474870593437574,0.13531583320079218,0.021238003139089464,-1.5761778720065083,False
0.2,0.2,0.5,0.8,Three-step estimator,300,-0.03347487059149048,0.13531583320072935,0.021238003139084534,-1.5761778719151944,False
0.2,0.2,0.8,0.2,GMM estimator,300,-0.004920491254817834,0.14406166266976989,0.021913592636365362,-0.22454060073437407,False
0.2,0.2,0.8,0.2,Simple g-estimator,300,0.015624655342388823,0.14886978680810733,0.022276279372769842,0.7014032765942119,False
0.2,0.2,0.8,0.2,Three-step estimator,300,0.015624655341535641,0.14886978675526386,0.0222762793688162,0.7014032766803985,False
0.2,0.2,0.8,0.5,GMM estimator,300,0.004132139964006939,0.10319302139874634,0.018546609878784346,0.22279758894016183,False
0.2,0.2,0.8,0.5,Simple g-estimator,300,0.013865227711190227,0.09562681720863085,0.01785374071062148,0.7766007099532691,False
0.2,0.2,0.8,0.5,Three-step estimator,300,0.013865227712921353,0.09562681723309846,0.01785374071290556,0.7766007099508779,False
0.2,0.2,0.8,0.8,GMM estimator,300,-0.00294599215140087,0.12944576074752842,0.020772237942947507,-0.14182353194163555,False
0.2,0.2,0.8,0.8,Simple g-estimator,300,-0.011631534591677881,0.13033052016119426,0.020843105987447767,-0.5580518852939997,False
0.2,0.2,0.8,0.8,Three-step estimator,300,-0.011631534592607339,0.13033052016973493,0.020843105988130696,-0.5580518853203081,False
0.2,1.0,0.2,0.2,GMM estimator,300,-0.020780131751244945,0.04785250239735294,0.012629661172197368,-1.6453435660641338,False
0.2,1.0,0.2,0.2,Simple g-estimator,300,-0.0062651419343624885,0.04989689745999929,0.012896627137873335,-0.4857969349182577,False
0.2,1.0,0.2,0.2,Three-step estimator,300,-0.006265141936827307,0.04989689745944972,0.012896627137802312,-0.4857969351120542,False
0.2,1.0,0.2,0.5,GMM estimator,300,-0.013792690371317775,0.021842827561958694,0.008532843910826506,-1.616423611571935,False
0.2,1.0,0.2,0.5,Simple g-estimator,300,-0.005058092460595988,0.024487844678868203,0.009034719084153126,-0.5598505513544819,False
0.2,1.0,0.2,0.5,Three-step estimator,300,-0.005058092460810121,0.02448784467899734,0.009034719084176947,-0.559850551376707,False
