 p_I1  p_I2  ph1  ph2               method  mean_psi03  var_psi03  mse_psi03  coverage_psi03
  0.2   0.2  0.2  0.2        GMM estimator         NaN        NaN        NaN             NaN
  0.2   0.2  0.2  0.2   Simple g-estimator    0.046223   1.443908   1.446045        0.943333
  0.2   0.2  0.2  0.2 Three-step estimator   -0.043595   1.578496   1.580396        0.946667
  0.2   0.2  0.2  0.5        GMM estimator   -0.145064   0.311280   0.332324        0.940000
  0.2   0.2  0.2  0.5   Simple g-estimator   -0.002908   0.346688   0.346697        0.950000
  0.2   0.2  0.2  0.5 Three-step estimator   -0.050918   0.340132   0.342725        0.933333
  0.2   0.2  0.2  0.8        GMM estimator   -0.082568   0.169025   0.175843        0.946667
  0.2   0.2  0.2  0.8   Simple g-estimator   -0.005063   0.158542   0.158568        0.950000
  0.2   0.2  0.2  0.8 Three-step estimator   -0.045082   0.204101   0.206133        0.956667
  0.2   0.2  0.5  0.2        GMM estimator   -0.152239   0.351045   0.374222        0.943333
  0.2   0.2  0.5  0.2   Simple g-estimator    0.011653   0.320106   0.320242        0.920000
  0.2   0.2  0.5  0.2 Three-step estimator    0.026778   0.382997   0.383714        0.936667
  0.2   0.2  0.5  0.5        GMM estimator   -0.055029   0.090992   0.094020        0.943333
  0.2   0.2  0.5  0.5   Simple g-estimator   -0.016166   0.099121   0.099383        0.950000
  0.2   0.2  0.5  0.5 Three-step estimator   -0.016720   0.117561   0.117841        0.943333
  0.2   0.2  0.5  0.8        GMM estimator   -0.036447   0.054228   0.055556        0.940000
  0.2   0.2  0.5  0.8   Simple g-estimator   -0.016679   0.050872   0.051150        0.940000
  0.2   0.2  0.5  0.8 Three-step estimator   -0.012484   0.052849   0.053005        0.943333
  0.2   0.2  0.8  0.2        GMM estimator   -0.057505   0.179341   0.182647        0.940000
  0.2   0.2  0.8  0.2   Simple g-estimator   -0.008823   0.170702   0.170779        0.950000
  0.2   0.2  0.8  0.2 Three-step estimator    0.007806   0.224493   0.224554        0.946667
  0.2   0.2  0.8  0.5        GMM estimator   -0.022783   0.057101   0.057620        0.946667
  0.2   0.2  0.8  0.5   Simple g-estimator    0.005149   0.055413   0.055439        0.946667
  0.2   0.2  0.8  0.5 Three-step estimator    0.025729   0.059668   0.060330        0.946667
  0.2   0.2  0.8  0.8        GMM estimator   -0.032330   0.027910   0.028956        0.933333
  0.2   0.2  0.8  0.8   Simple g-estimator   -0.015994   0.028034   0.028290        0.930000
  0.2   0.2  0.8  0.8 Three-step estimator   -0.025771   0.031514   0.032178        0.940000
  0.2   1.0  0.2  0.2        GMM estimator   -0.117615   0.672743   0.686576        0.943333
  0.2   1.0  0.2  0.2   Simple g-estimator    0.038601   0.707175   0.708665        0.956667
  0.2   1.0  0.2  0.2 Three-step estimator   -0.059789   1.559700   1.563274        0.946667
  0.2   1.0  0.2  0.5        GMM estimator   -0.090455   0.187946   0.196128        0.943333
  0.2   1.0  0.2  0.5   Simple g-estimator   -0.029616   0.213109   0.213987        0.936667
  0.2   1.0  0.2  0.5 Three-step estimator   -0.053906   0.337957   0.340862        0.933333
  0.2   1.0  0.2  0.8        GMM estimator   -0.088856   0.149421   0.157317        0.956667
  0.2   1.0  0.2  0.8   Simple g-estimator   -0.032520   0.151024   0.152081        0.946667
  0.2   1.0  0.2  0.8 Three-step estimator   -0.043984   0.205745   0.207680        0.956667
  0.2   1.0  0.5  0.2        GMM estimator   -0.050475   0.202564   0.205112        0.943333
  0.2   1.0  0.5  0.2   Simple g-estimator    0.001939   0.173167   0.173171        0.946667
  0.2   1.0  0.5  0.2 Three-step estimator    0.035127   0.384027   0.385261        0.936667
  0.2   1.0  0.5  0.5        GMM estimator   -0.054834   0.062930   0.065937        0.936667
  0.2   1.0  0.5  0.5   Simple g-estimator   -0.009909   0.071207   0.071305        0.946667
  0.2   1.0  0.5  0.5 Three-step estimator   -0.015142   0.115555   0.115784        0.936667
  0.2   1.0  0.5  0.8        GMM estimator   -0.040365   0.050678   0.052308        0.946667
  0.2   1.0  0.5  0.8   Simple g-estimator   -0.011099   0.047483   0.047606        0.943333
  0.2   1.0  0.5  0.8 Three-step estimator   -0.012104   0.053136   0.053282        0.946667
  0.2   1.0  0.8  0.2        GMM estimator   -0.048415   0.105905   0.108249        0.946667
  0.2   1.0  0.8  0.2   Simple g-estimator   -0.006771   0.110689   0.110735        0.950000
  0.2   1.0  0.8  0.2 Three-step estimator    0.007202   0.225037   0.225089        0.950000
  0.2   1.0  0.8  0.5        GMM estimator   -0.025130   0.044162   0.044794        0.930000
  0.2   1.0  0.8  0.5   Simple g-estimator   -0.004239   0.042878   0.042896        0.946667
  0.2   1.0  0.8  0.5 Three-step estimator    0.026956   0.059600   0.060327        0.946667
  0.2   1.0  0.8  0.8        GMM estimator   -0.023151   0.027836   0.028372        0.930000
  0.2   1.0  0.8  0.8   Simple g-estimator   -0.012231   0.027630   0.027779        0.940000
  0.2   1.0  0.8  0.8 Three-step estimator   -0.026854   0.031115   0.031837        0.940000
  1.0   0.2  0.2  0.2        GMM estimator         NaN        NaN        NaN             NaN
  1.0   0.2  0.2  0.2   Simple g-estimator    0.038800   0.937861   0.939366        0.943333
  1.0   0.2  0.2  0.2 Three-step estimator   -0.053510   1.574124   1.576987        0.946667
  1.0   0.2  0.2  0.5        GMM estimator   -0.045687   0.206545   0.208632        0.953333
  1.0   0.2  0.2  0.5   Simple g-estimator    0.022778   0.216970   0.217489        0.940000
  1.0   0.2  0.2  0.5 Three-step estimator   -0.051458   0.338514   0.341162        0.936667
  1.0   0.2  0.2  0.8        GMM estimator   -0.024412   0.105054   0.105650        0.936667
  1.0   0.2  0.2  0.8   Simple g-estimator    0.000515   0.113895   0.113895        0.946667
  1.0   0.2  0.2  0.8 Three-step estimator   -0.043853   0.202459   0.204382        0.956667
  1.0   0.2  0.5  0.2        GMM estimator   -0.079185   0.273124   0.279395        0.950000
  1.0   0.2  0.5  0.2   Simple g-estimator    0.022714   0.260153   0.260668        0.936667
  1.0   0.2  0.5  0.2 Three-step estimator    0.033083   0.383839   0.384934        0.936667
  1.0   0.2  0.5  0.5        GMM estimator   -0.048510   0.086189   0.088542        0.946667
  1.0   0.2  0.5  0.5   Simple g-estimator   -0.006095   0.082373   0.082410        0.943333
  1.0   0.2  0.5  0.5 Three-step estimator   -0.015707   0.116953   0.117199        0.940000
  1.0   0.2  0.5  0.8        GMM estimator   -0.013988   0.042638   0.042834        0.940000
  1.0   0.2  0.5  0.8   Simple g-estimator   -0.003427   0.041899   0.041910        0.943333
  1.0   0.2  0.5  0.8 Three-step estimator   -0.012326   0.053114   0.053266        0.943333
  1.0   0.2  0.8  0.2        GMM estimator   -0.059790   0.154634   0.158209        0.926667
  1.0   0.2  0.8  0.2   Simple g-estimator    0.009286   0.154015   0.154101        0.946667
  1.0   0.2  0.8  0.2 Three-step estimator    0.010756   0.225378   0.225493        0.946667
  1.0   0.2  0.8  0.5        GMM estimator   -0.023568   0.051854   0.052409        0.953333
  1.0   0.2  0.8  0.5   Simple g-estimator    0.009435   0.048476   0.048565        0.946667
