p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
0.2,0.2,0.2,0.2,GMM estimator,300,-0.02699177845159365,0.07312960906135452,0.015612987015233452,-1.7288029782679004,False
0.2,0.2,0.2,0.2,Simple g-estimator,300,-0.019390857122609406,0.07766686475731452,0.016090045033841528,-1.2051462305932281,False
0.2,0.2,0.2,0.2,Three-step estimator,300,-0.019390857113412485,0.07766686479090111,0.01609004503732055,-1.2051462297610582,False
0.2,0.2,0.2,0.5,GMM estimator,300,-0.0050179854753900095,0.05385792262667498,0.013398746536731832,-0.37451156058766494,False
0.2,0.2,0.2,0.5,Simple g-estimator,300,0.001545476419169222,0.054245088282757016,0.0134468197333988,0.11493248588219078,False
0.2,0.2,0.2,0.5,Three-step estimator,300,0.0015454764241621172,0.054245088278618694,0.013446819732885876,0.1149324862578816,False
0.2,0.2,0.2,0.8,GMM estimator,300,0.009723699162071161,0.063677439453671,0.014569081354438126,0.6674201979872304,False
0.2,0.2,0.2,0.8,Simple g-estimator,300,0.010452885667550775,0.06417715181158963,0.014626135490004372,0.7146717377734103,False
0.2,0.2,0.2,0.8,Three-step estimator,300,0.010452885676345195,0.06417715167122814,0.014626135474010003,0.7146717391562187,False
0.2,0.2,0.5,0.2,GMM estimator,300,-0.0018039504035660015,0.07568569930873295,0.015883502899626492,-0.11357383915662723,False
0.2,0.2,0.5,0.2,Simple g-estimator,300,0.010467376030685734,0.0802787580620286,0.016358357503330277,0.6398794028407044,False
0.2,0.2,0.5,0.2,Three-step estimator,300,0.010467376032727904,0.08027875806549654,0.01635835750368361,0.6398794029517229,False
0.2,0.2,0.5,0.5,GMM estimator,300,0.0022762652616095305,0.043481285089292616,0.012039003985559134,0.1890742177957517,False
0.2,0.2,0.5,0.5,Simple g-estimator,300,0.008083512655067024,0.04449232843272275,0.012178167409032,0.6637708600615759,False
0.2,0.2,0.5,0.5,Three-step estimator,300,0.008083512655923388,0.04449232843268911,0.012178167409027397,0.6637708601321464,False
0.2,0.2,0.5,0.8,GMM estimator,300,-0.020078230976946245,0.0698256348320846,0.015256215654838806,-1.3160689014367755,False
0.2,0.2,0.5,0.8,Simple g-estimator,300,-0.021473314739857568,0.0772604847212911,0.016047895471711246,-1.3380766828716009,False
0.2,0.2,0.5,0.8,Three-step estimator,300,-0.02147331473835143,0.07726048472191446,0.016047895471775986,-1.33807668277235,False
0.2,0.2,0.8,0.2,GMM estimator,300,0.005463866966226892,0.06060978019323525,0.014213817243939697,0.3844053200104641,False
0.2,0.2,0.8,0.2,Simple g-estimator,300,0.021474444292193983,0.057712981500729635,0.013869989365620729,1.5482668173792742,False
0.2,0.2,0.8,0.2,Three-step estimator,300,0.021474444293984415,0.05771298156436516,0.013869989373267397,1.5482668166547855,False
