p_I1,p_I2,ph1,ph2,seconds
0.2,0.2,0.2,0.2,1127.1202409267426
0.2,0.2,0.2,0.5,1223.8726170063019
0.2,0.2,0.2,0.8,1167.3414630889893
0.2,0.2,0.5,0.2,1110.8687570095062
0.2,0.2,0.5,0.5,1200.4162240028381
0.2,0.2,0.5,0.8,1257.077931880951
0.2,0.2,0.8,0.2,1181.7447128295898
0.2,0.2,0.8,0.5,1302.4147548675537
0.2,0.2,0.8,0.8,1352.4345571994781
0.2,1.0,0.2,0.2,981.197019815445
0.2,1.0,0.2,0.5,985.9968090057373
0.2,1.0,0.2,0.8,1035.2388880252838
0.2,1.0,0.5,0.2,997.2230899333954
0.2,1.0,0.5,0.5,1089.0200991630554
0.2,1.0,0.5,0.8,1139.7557649612427
0.2,1.0,0.8,0.2,1068.2312240600586
0.2,1.0,0.8,0.5,1174.1046369075775
0.2,1.0,0.8,0.8,1223.2846641540527
1.0,0.2,0.2,0.2,913.6256420612335
1.0,0.2,0.2,0.5,994.5834832191467
1.0,0.2,0.2,0.8,1047.7260808944702
1.0,0.2,0.5,0.2,1005.9682240486145
1.0,0.2,0.5,0.5,1098.2338981628418
1.0,0.2,0.5,0.8,1148.3079888820648
1.0,0.2,0.8,0.2,1067.7896256446838
1.0,0.2,0.8,0.5,1168.1535801887512
1.0,0.2,0.8,0.8,1226.424721956253
1.0,1.0,0.2,0.2,905.4351086616516
1.0,1.0,0.2,0.5,987.1110029220581
1.0,1.0,0.2,0.8,1028.6529862880707
1.0,1.0,0.5,0.2,995.5915184020996
1.0,1.0,0.5,0.5,1088.5611889362335
1.0,1.0,0.5,0.8,1136.4271399974823
1.0,1.0,0.8,0.2,1055.7658607959747
1.0,1.0,0.8,0.5,1158.935541152954
1.0,1.0,0.8,0.8,1214.5522592067719
