p_I1,p_I2,ph1,ph2,seconds
0.2,0.2,0.2,0.2,556.0588092803955
0.2,0.2,0.2,0.5,510.25960206985474
0.2,0.2,0.2,0.8,513.7653131484985
0.2,0.2,0.5,0.2,483.97783493995667
0.2,0.2,0.5,0.5,501.989972114563
0.2,0.2,0.5,0.8,526.9725878238678
0.2,0.2,0.8,0.2,495.3946979045868
0.2,0.2,0.8,0.5,516.0663888454437
0.2,0.2,0.8,0.8,538.6373300552368
0.2,1.0,0.2,0.2,455.98648285865784
0.2,1.0,0.2,0.5,470.8659689426422
0.2,1.0,0.2,0.8,480.9161732196808
0.2,1.0,0.5,0.2,460.8536329269409
0.2,1.0,0.5,0.5,496.3114809989929
0.2,1.0,0.5,0.8,501.3968060016632
0.2,1.0,0.8,0.2,486.0061819553375
0.2,1.0,0.8,0.5,539.579253911972
0.2,1.0,0.8,0.8,514.2677237987518
1.0,0.2,0.2,0.2,452.5746750831604
1.0,0.2,0.2,0.5,456.8300459384918
1.0,0.2,0.2,0.8,486.2377142906189
1.0,0.2,0.5,0.2,456.348002910614
1.0,0.2,0.5,0.5,477.4916217327118
1.0,0.2,0.5,0.8,499.5255243778229
1.0,0.2,0.8,0.2,477.67978978157043
1.0,0.2,0.8,0.5,499.0234718322754
1.0,0.2,0.8,0.8,522.9698448181152
1.0,1.0,0.2,0.2,444.1293771266937
1.0,1.0,0.2,0.5,452.15140104293823
1.0,1.0,0.2,0.8,469.4176981449127
1.0,1.0,0.5,0.2,452.4509029388428
1.0,1.0,0.5,0.5,474.48669624328613
1.0,1.0,0.5,0.8,487.06589698791504
1.0,1.0,0.8,0.2,472.5846481323242
1.0,1.0,0.8,0.5,496.28846740722656
1.0,1.0,0.8,0.8,508.74643206596375
