p_I1,p_I2,ph1,ph2,seconds
0.2,0.2,0.2,0.2,144.63838005065918
0.2,0.2,0.2,0.5,131.9486289024353
0.2,0.2,0.2,0.8,140.12670063972473
0.2,0.2,0.5,0.2,129.6274778842926
0.2,0.2,0.5,0.5,117.53707814216614
0.2,0.2,0.5,0.8,112.57707595825195
0.2,0.2,0.8,0.2,108.73268413543701
0.2,0.2,0.8,0.5,116.56929922103882
0.2,0.2,0.8,0.8,131.38158011436462
0.2,1.0,0.2,0.2,118.29427218437195
0.2,1.0,0.2,0.5,109.67489099502563
0.2,1.0,0.2,0.8,105.01822185516357
0.2,1.0,0.5,0.2,114.5506157875061
0.2,1.0,0.5,0.5,118.1669020652771
0.2,1.0,0.5,0.8,126.62155294418335
0.2,1.0,0.8,0.2,118.82315182685852
0.2,1.0,0.8,0.5,124.0807900428772
0.2,1.0,0.8,0.8,121.27187204360962
1.0,0.2,0.2,0.2,114.37738704681396
1.0,0.2,0.2,0.5,121.43566703796387
1.0,0.2,0.2,0.8,124.16546106338501
1.0,0.2,0.5,0.2,110.87385392189026
1.0,0.2,0.5,0.5,108.79963302612305
1.0,0.2,0.5,0.8,112.01733803749084
1.0,0.2,0.8,0.2,105.4257709980011
1.0,0.2,0.8,0.5,108.30457401275635
1.0,0.2,0.8,0.8,113.7499828338623
1.0,1.0,0.2,0.2,95.21163487434387
1.0,1.0,0.2,0.5,95.1149890422821
1.0,1.0,0.2,0.8,97.7315046787262
1.0,1.0,0.5,0.2,95.56128191947937
1.0,1.0,0.5,0.5,101.10528492927551
1.0,1.0,0.5,0.8,106.78657484054565
1.0,1.0,0.8,0.2,99.61128616333008
1.0,1.0,0.8,0.5,103.40113687515259
1.0,1.0,0.8,0.8,107.54864716529846
