p_I,ph,method,n_kept,bias,var,se,z,sig
0.25,0.4,GMM estimator,300,0.0016257712572436134,0.03750128494020829,0.01118053143343498,0.1454109106461436,False
0.25,0.4,Simple g-estimator,300,0.01005124420356096,0.032964516601108246,0.010482448282901001,0.9588641825170345,False
0.25,0.4,Three-step estimator,300,0.010051244218655775,0.03296451661858436,0.010482448285679633,0.9588641837028724,False
0.25,0.6,GMM estimator,300,0.013501210863543944,0.030971911975655877,0.01016069419801224,1.3287685467578798,False
0.25,0.6,Simple g-estimator,300,0.009530806791999913,0.027338539338106323,0.009546123006768477,0.998395556525125,False
0.25,0.6,Three-step estimator,300,0.00953080677855267,0.027338539374306272,0.00954612301308866,0.9983955544554589,False
0.25,0.8,GMM estimator,300,0.026783306725644218,0.03654845684763173,0.011037580780773736,2.426555896406015,True
0.25,0.8,Simple g-estimator,300,-0.009897477944813882,0.047804664200980916,0.012623346650945477,-0.7840613284649495,False
0.25,0.8,Three-step estimator,300,-0.009897477911098518,0.047804664104375234,0.01262334663819058,-0.784061326586308,False
0.5,0.4,GMM estimator,300,-0.011059014262839506,0.017113883094070723,0.007552898581355091,-1.46420796515652,False
0.5,0.4,Simple g-estimator,300,-0.0022534695222768963,0.01700183656264231,0.007528133137912814,-0.2993397540922973,False
0.5,0.4,Three-step estimator,300,-0.002253469546955489,0.017001836588944115,0.007528133143735817,-0.2993397571389406,False
0.5,0.6,GMM estimator,300,-0.009106083697051348,0.012783021740331283,0.006527639118990184,-1.395004155569808,False
0.5,0.6,Simple g-estimator,300,-0.007612199228223426,0.013697182567342387,0.006757016739987746,-1.1265621384618962,False
0.5,0.6,Three-step estimator,300,-0.007612199238573147,0.01369718256264011,0.006757016738827896,-1.1265621401869719,False
0.5,0.8,GMM estimator,300,0.020502184111560906,0.02089009594052126,0.008344678132502826,2.45691730537864,True
0.5,0.8,Simple g-estimator,300,-0.0016537019372248052,0.020408929575045025,0.008248015837166542,-0.20049694009715976,False
0.5,0.8,Three-step estimator,300,-0.0016537019226319227,0.020408929575644018,0.008248015837287579,-0.2004969383249578,False
0.75,0.4,GMM estimator,300,-0.012749756088106357,0.011282953052671128,0.006132686483826135,-2.078983838768142,True
0.75,0.4,Simple g-estimator,300,-0.005370157302707512,0.012359810088552107,0.006418673302314144,-0.8366459936154397,False
0.75,0.4,Three-step estimator,300,-0.00537015730278767,0.012359810084869156,0.006418673301357832,-0.8366459937525791,False
0.75,0.6,GMM estimator,300,0.004140115428803659,0.010406819732373994,0.005889770717771051,0.702933208641178,False
0.75,0.6,Simple g-estimator,300,0.0069699366535525,0.010219022219131629,0.005836386501689674,1.194221227729633,False
0.75,0.6,Three-step estimator,300,0.006969936661637144,0.010219022221670407,0.00583638650241466,1.1942212289665028,False
0.75,0.8,GMM estimator,300,0.013975798555966978,0.016398379224671883,0.007393325644271298,1.890326387394568,False
0.75,0.8,Simple g-estimator,300,0.005384389322505179,0.015027584752198191,0.007077566613886016,0.7607684415065957,False
0.75,0.8,Three-step estimator,300,0.005384389312206306,0.015027584776843263,0.007077566619689582,0.7607684394276266,False
1.0,0.4,GMM estimator,300,-0.005298462024191486,0.006387823958653149,0.004614406411321377,-1.1482434688006216,False
1.0,0.4,Simple g-estimator,300,-0.0012736243502113886,0.006155510082393393,0.00452972040431982,-0.28117063229703587,False
1.0,0.4,Three-step estimator,300,-0.0012736243507697198,0.006155510082007457,0.004529720404177818,-0.2811706324291098,False
1.0,0.6,GMM estimator,300,-0.0009638408965300105,0.007448809160942201,0.004982907170498698,-0.1934294305614262,False
1.0,0.6,Simple g-estimator,300,0.003342253338081802,0.0077691462003648595,0.005088924640944902,0.6567700592754737,False
1.0,0.6,Three-step estimator,300,0.003342253339844614,0.007769146200621392,0.005088924641028918,0.6567700596110324,False
1.0,0.8,GMM estimator,300,0.004617734320467637,0.009804822961844921,0.0057168822977344685,0.8077364689312546,False
1.0,0.8,Simple g-estimator,300,0.003425020598101236,0.012114453207861493,0.006354644812487291,0.5389790773783056,False
1.0,0.8,Three-step estimator,300,0.0034250205990038474,0.012114453207628856,0.006354644812426277,0.5389790775255202,False
