id,est_psi03,est_psi13,est_psi23,method,p_I,ph,seed,psi03,psi13,psi23
1,1.2173578518703487,0.542035622583107,0.9056809319804443,Three-step,0.25,0.4,3411,1.0,1.0,1.0
2,0.7044957217774909,1.3363853317382715,1.017419926962705,Three-step,0.25,0.4,3411,1.0,1.0,1.0
3,0.9999066298554833,1.9086897151854452,1.0181045458063094,Three-step,0.25,0.4,3411,1.0,1.0,1.0
4,2.127584531015631,0.8734903182900098,1.1461155613961431,Three-step,0.25,0.4,3411,1.0,1.0,1.0
5,2.549479941563266,2.1838033820585867,0.6193555239474546,Three-step,0.25,0.4,3411,1.0,1.0,1.0
6,1.9878428163326907,2.085740437261512,1.3994498019097548,Three-step,0.25,0.4,3411,1.0,1.0,1.0
7,1.2585801202017712,1.8654862666067442,0.8633648385855294,Three-step,0.25,0.4,3411,1.0,1.0,1.0
8,0.8713433368180135,1.1030602236173717,0.5534699100835252,Three-step,0.25,0.4,3411,1.0,1.0,1.0
9,0.9448359834874961,0.2195983139836667,0.4749098339939225,Three-step,0.25,0.4,3411,1.0,1.0,1.0
10,-0.4748222971391539,0.24447391068828234,1.2461774044480536,Three-step,0.25,0.4,3411,1.0,1.0,1.0
11,0.2247453235025843,1.3248445181690085,0.739552452706726,Three-step,0.25,0.4,3411,1.0,1.0,1.0
12,1.1789636343036278,1.093481531104301,1.3773538134099257,Three-step,0.25,0.4,3411,1.0,1.0,1.0
13,1.432493293002935,0.9184566987796507,0.8284776110001841,Three-step,0.25,0.4,3411,1.0,1.0,1.0
14,0.9480094208009167,0.7372096188621793,0.6421633473245164,Three-step,0.25,0.4,3411,1.0,1.0,1.0
15,2.478078050798279,2.20537138743821,1.6777434730254717,Three-step,0.25,0.4,3411,1.0,1.0,1.0
16,2.134075795240587,1.78463098314855,1.6840981271952842,Three-step,0.25,0.4,3411,1.0,1.0,1.0
17,4.009751746257489,2.043046394286982,1.2082413555022873,Three-step,0.25,0.4,3411,1.0,1.0,1.0
18,1.6742376202923723,1.2082331978758725,2.024439688568307,Three-step,0.25,0.4,3411,1.0,1.0,1.0
19,0.4247744958350418,0.9714767337792073,1.2292855531579636,Three-step,0.25,0.4,3411,1.0,1.0,1.0
20,1.644381488811578,1.8466373541663466,0.8284750650633258,Three-step,0.25,0.4,3411,1.0,1.0,1.0
21,1.9529032206792607,1.8081904241118627,1.362678927166494,Three-step,0.25,0.4,3411,1.0,1.0,1.0
22,0.6859847380559471,1.5581929457474697,1.0194367183926336,Three-step,0.25,0.4,3411,1.0,1.0,1.0
23,0.6716059888227786,1.4961109299991675,1.022768168889594,Three-step,0.25,0.4,3411,1.0,1.0,1.0
24,1.1381593440911921,1.8281233016497414,0.5012676557590438,Three-step,0.25,0.4,3411,1.0,1.0,1.0
25,1.0430658611253885,1.70123990102158,0.6353269665769418,Three-step,0.25,0.4,3411,1.0,1.0,1.0
26,3.9080265068886746,1.596745414911776,0.7883506747894182,Three-step,0.25,0.4,3411,1.0,1.0,1.0
27,1.1340287022330744,0.8906509817583226,1.1125860909176128,Three-step,0.25,0.4,3411,1.0,1.0,1.0
28,2.0333878977267235,0.9864943107458121,1.1098215176625414,Three-step,0.25,0.4,3411,1.0,1.0,1.0
29,1.7971963161139362,1.7528949815845123,0.8569106259909434,Three-step,0.25,0.4,3411,1.0,1.0,1.0
30,0.9968968697132254,1.480103954152829,1.1797291528664682,Three-step,0.25,0.4,3411,1.0,1.0,1.0
31,0.7328724201723894,2.079772733096157,0.9489763167634189,Three-step,0.25,0.4,3411,1.0,1.0,1.0
32,2.1137636919844165,1.8553512899043016,1.9514975818831388,Three-step,0.25,0.4,3411,1.0,1.0,1.0
33,0.7318666920882673,2.401589142605215,0.27363319787068613,Three-step,0.25,0.4,3411,1.0,1.0,1.0
34,1.3991216333096594,0.6473611412321062,0.8467638767624612,Three-step,0.25,0.4,3411,1.0,1.0,1.0
35,2.3963579802916257,1.7944592639468087,0.8818150772321162,Three-step,0.25,0.4,3411,1.0,1.0,1.0
36,0.3434122742014194,0.02688418739257118,0.6648949262593795,Three-step,0.25,0.4,3411,1.0,1.0,1.0
37,1.9853363306298353,2.382931284855096,1.3117062615855077,Three-step,0.25,0.4,3411,1.0,1.0,1.0
38,0.7565279932817299,0.9434523638192903,1.1878839368337635,Three-step,0.25,0.4,3411,1.0,1.0,1.0
39,0.8985928851330272,1.899466651110378,1.2051169811413363,Three-step,0.25,0.4,3411,1.0,1.0,1.0
40,2.807319204313474,1.7207370640272746,0.926375224821411,Three-step,0.25,0.4,3411,1.0,1.0,1.0
41,1.9978083615979292,1.8026729776254227,1.5194083804961036,Three-step,0.25,0.4,3411,1.0,1.0,1.0
42,0.5820379949480184,1.1879833434806133,0.2887912238547714,Three-step,0.25,0.4,3411,1.0,1.0,1.0
43,0.9149842201256525,1.217422185359102,0.5662559526118699,Three-step,0.25,0.4,3411,1.0,1.0,1.0
44,1.3560698287804314,0.15842592446736586,0.9520409538518744,Three-step,0.25,0.4,3411,1.0,1.0,1.0
45,0.35602217295435834,0.4998370916952272,0.8342770911927162,Three-step,0.25,0.4,3411,1.0,1.0,1.0
46,1.8389441834901665,0.4304480960142249,0.9252634984461907,Three-step,0.25,0.4,3411,1.0,1.0,1.0
47,1.1990132804071756,1.339432153872059,0.9750299550201009,Three-step,0.25,0.4,3411,1.0,1.0,1.0
48,0.05128601692297589,1.1301530326564453,0.4414295516293194,Three-step,0.25,0.4,3411,1.0,1.0,1.0
49,-0.028070361404255277,0.631147955701765,1.3805160586162357,Three-step,0.25,0.4,3411,1.0,1.0,1.0
50,0.3365498187794983,0.7689402828602455,0.8105475960193751,Three-step,0.25,0.4,3411,1.0,1.0,1.0
51,0.20417459837377336,-0.6216523820043086,0.24029678854100156,Three-step,0.25,0.4,3411,1.0,1.0,1.0
