p_I1,p_I2,ph1,ph2,seconds
0.2,0.2,0.2,0.2,944.0081043243408
0.2,0.2,0.2,0.5,942.3976221084595
0.2,0.2,0.2,0.8,980.3727638721466
0.2,0.2,0.5,0.2,961.9434018135071
0.2,0.2,0.5,0.5,1023.1959271430969
0.2,0.2,0.5,0.8,1050.2584631443024
0.2,0.2,0.8,0.2,995.0840110778809
0.2,0.2,0.8,0.5,1075.4307992458344
0.2,0.2,0.8,0.8,1096.2017710208893
0.2,1.0,0.2,0.2,861.4954240322113
0.2,1.0,0.2,0.5,937.5288779735565
0.2,1.0,0.2,0.8,973.4799249172211
0.2,1.0,0.5,0.2,957.4146440029144
0.2,1.0,0.5,0.5,1043.7590491771698
0.2,1.0,0.5,0.8,1072.1593782901764
0.2,1.0,0.8,0.2,1054.2067968845367
0.2,1.0,0.8,0.5,1157.462495803833
0.2,1.0,0.8,0.8,1090.6512579917908
1.0,0.2,0.2,0.2,856.3809530735016
1.0,0.2,0.2,0.5,939.2414271831512
1.0,0.2,0.2,0.8,977.6123361587524
1.0,0.2,0.5,0.2,938.4790768623352
1.0,0.2,0.5,0.5,1024.9704818725586
1.0,0.2,0.5,0.8,1059.1925840377808
1.0,0.2,0.8,0.2,996.6874210834503
1.0,0.2,0.8,0.5,1078.0794582366943
1.0,0.2,0.8,0.8,1101.9059388637543
1.0,1.0,0.2,0.2,851.7643890380859
1.0,1.0,0.2,0.5,928.713928937912
1.0,1.0,0.2,0.8,962.4038288593292
1.0,1.0,0.5,0.2,936.2299659252167
1.0,1.0,0.5,0.5,1015.7218728065491
1.0,1.0,0.5,0.8,1036.0620679855347
1.0,1.0,0.8,0.2,993.3204927444458
1.0,1.0,0.8,0.5,1060.110699892044
1.0,1.0,0.8,0.8,1080.9422969818115
