p_I1,p_I2,ph1,ph2,seconds
0.2,0.2,0.2,0.2,507.8849241733551
0.2,0.2,0.2,0.5,579.5101478099823
0.2,0.2,0.2,0.8,606.2453651428223
0.2,0.2,0.5,0.2,515.9347639083862
0.2,0.2,0.5,0.5,650.4453270435333
0.2,0.2,0.5,0.8,699.9839880466461
0.2,0.2,0.8,0.2,689.0786771774292
0.2,0.2,0.8,0.5,750.8894689083099
0.2,0.2,0.8,0.8,755.486732006073
0.2,1.0,0.2,0.2,565.2192959785461
0.2,1.0,0.2,0.5,642.7725079059601
0.2,1.0,0.2,0.8,734.0973010063171
0.2,1.0,0.5,0.2,653.7000308036804
0.2,1.0,0.5,0.5,677.6475801467896
0.2,1.0,0.5,0.8,660.4675500392914
0.2,1.0,0.8,0.2,509.409508228302
0.2,1.0,0.8,0.5,555.8138792514801
0.2,1.0,0.8,0.8,588.1965410709381
1.0,0.2,0.2,0.2,448.8927490711212
1.0,0.2,0.2,0.5,499.4122040271759
1.0,0.2,0.2,0.8,546.5414409637451
1.0,0.2,0.5,0.2,482.2429268360138
1.0,0.2,0.5,0.5,534.2013170719147
1.0,0.2,0.5,0.8,576.2455201148987
1.0,0.2,0.8,0.2,504.8124589920044
1.0,0.2,0.8,0.5,554.9390869140625
1.0,0.2,0.8,0.8,584.2302477359772
1.0,1.0,0.2,0.2,439.69584107398987
1.0,1.0,0.2,0.5,494.71145009994507
1.0,1.0,0.2,0.8,538.7888281345367
1.0,1.0,0.5,0.2,476.8104169368744
1.0,1.0,0.5,0.5,532.2443540096283
1.0,1.0,0.5,0.8,572.3580360412598
1.0,1.0,0.8,0.2,500.37652802467346
1.0,1.0,0.8,0.5,547.7995212078094
1.0,1.0,0.8,0.8,578.7168147563934
